code	name
A00	Koolera
A00.0	Vibrio cholerae 01, biovar cholerae koolera; Klassikaline koolera
A00.1	Vibrio cholerae 01, biovar El Tor'i koolera; El Tor koolera
A00.9	Täpsustamata koolera
A00-A09	Soolenakkushaigused
A00-B99	Teatavad nakkus- ja parasiithaigused
A01	Kõhutüüfus ja paratüüfused
A01.0	Kõhutüüfus; Salmonella typhi nakkus
A01.1	Paratüüfus A
A01.2	Paratüüfus B
A01.3	Paratüüfus C
A01.4	Täpsustamata paratüüfus; Teisiti täpsustamata Salmonella paratyphi nakkus
A02	Muud salmonellanakkused e salmonelloosid
A02.0	Salmonellaenteriit; Salmonelloos
A02.1	Salmonellaseptitseemia
A02.2	Lokaliseerunud salmonellanakkused; Salmonellaartriit; Salmonellameningiit; Salmonellaosteomüeliit; Salmonellapneumoonia; Salmonellatekkene tubulointerstitsiaalne neeruhaigus
A02.8	Muud täpsustatud salmonellanakkused
A02.9	Täpsustamata salmonellanakkused
A03	Šigelloos
A03.0	Shigella dysenteriae šigelloos; A-rühma šigelloos [Shiga-Kruse düsenteeria]
A03.1	Shigella flexneri šigelloos; B-rühma šigelloos
A03.2	Shigella boydii šigelloos; C-rühma šigelloos
A03.3	Shigella sonnei šigelloos; D-rühma šigelloos
A03.8	Muu šigelloos
A03.9	Täpsustamata šigelloos; Teisiti täpsustamata batsillaarne düsenteeria
A04	Soole muud bakternakkused
A04.0	Enteropatogeense Escherichia coli nakkus
A04.1	Enterotoksi[ko]geense Escherichia coli nakkus
A04.2	Enteroinvasiivse Escherichia coli nakkus
A04.3	Enterohemorraagilise Escherichia coli nakkus
A04.4	Muud Escherichia coli nakkused; Teisiti täpsustamata Escherichia coli enteriit
A04.5	Kampülobakterenteriit
A04.6	Yersinia enterocolitica enteriit
A04.7	Clostridium difficile enterokoliit
A04.8	Soole muud täpsustatud bakternakkused
A04.9	Soole täpsustamata bakternakkused; Teisiti täpsustamata bakteriaalne enteriit
A05	Muud baktertoidumürgistused
A05.0	Stafülokokktoidumürgistus
A05.1	Botulism; Klassikaline Clostridium botulinum'i toidumürgistus
A05.2	Clostridium perfringens'i [Cl. welchii] toidumürgistus; Nekrotiseeriv enteriit
A05.3	Vibrio parahaemolyticus'e toidumürgistus
A05.4	Bacillus cereus'e toidumürgistus
A05.8	Muud täpsustatud baktertoidumürgistused
A05.9	Täpsustamata baktertoidumürgistus
A06	Amöbiaas
A06.0	Äge amööbdüsenteeria; Äge amöbiaas; Teisiti täpsustamata sooleamöbiaas
A06.1	Krooniline sooleamöbiaas
A06.2	Mittedüsenteeriline amööbkoliit
A06.3	Sooleamöboom; Teisiti täpsustamata amöboom
A06.4	Maksa amööbabstsess; Maksaamöbiaas
A06.5	Kopsu amööbabstsess; Kopsu (ja maksa) amööbabstsess
A06.6	Peaaju amööbabstsess; Peaaju (ja maksa; ja kopsu) amööbabstsess
A06.7	Nahaamöbiaas
A06.8	Muude paikmete amööbnakkus; Amööbapenditsiit; Amööbbalaniit
A06.9	Täpsustamata amöbiaas
A07	Soole muud algloomhaigused
A07.0	Balantidiaas; Balantiid-düsenteeria
A07.1	Giardiaas [lambliaas]
A07.2	Krüptosporidioos
A07.3	Isosporiaas; Isospora belli ja Isospora hominis'e nakkus; Soolekoktsidioos; Isosporoos
A07.8	Soole muud täpsustatud algloomhaigused; Sooletrihhomoniaas; Sarkotsüstoos; Sarkosporidioos
A07.9	Soole täpsustamata algloomhaigus; Viburloomdiarröa; Algloomkoliit; Algloomdiarröa; Algloomdüsenteeria
A08	Soole viirus- ja muud täpsustatud nakkused
A08.0	Rotaviirusenteriit
A08.1	Norwalki viiruse tekkene äge gastroenteropaatia; Väikese ümarviiruse tekkene enteriit
A08.2	Adenoviirusenteriit
A08.3	Muu viirusenteriit
A08.4	Soole täpsustamata viirusnakkus; Teisiti täpsustamata viirusenteriit; Teisiti täpsustamata viirusgastroenteriitenteriit; Teisiti täpsustamata viirugastroenteropaatia
A08.5	Soole muud täpsustatud nakkused
